Ноутбуки и планшеты / Ноутбуки;цена, руб;Г;М;Л;Ц;Ч;У;А;ГА;ПР;ИС;С;ЦН;БЕ;ИМ;Б;ЖИ;СП
Acer;;;;;;;;;;;;;;;;;;
"11.6"" Хромбук Acer CB-C720P (HD) Celeron 2955U(1.4)/2048/SSD 32/IntelHD/WiFi/Cam/Chrome OS";15290;Г;;;;;;;;;;С;;;;;;
"11.6"" Ноутбук Acer E3-112-C0CR (HD) Celeron N2840(2.16)/2048/320/IntelHD/WiFi/BT/Cam/Win8.1/Pink";16790;;М;;;;;;ГА;;;С;;;;;;СП
"13.3"" Ноутбук Acer V3-331-P877 (HD) Pentium 3805U(1.9)/4096/500+8 SSHD/IntelHD/WiFi/BT/Cam/Win8.1";22990;Г;;;;;;;;;;С;;;;;;
"13.3"" Ноутбук Acer V3-331-P9J6 (HD) Pentium 3805U(1.9)/4096/500/IntelHD/WiFi/BT/Cam/Win8.1";26990;;;;Ц;;У;;;;;;ЦН;;;;;
"13.3"" Ноутбук Acer V3-371-31C2 (HD) i3 4005U(1.7)/4096/500/IntelHD/WiFi/BT/Cam/Win8.1";31990;;;;;;;;ГА;;;;;;;;;
"13.3"" Ноутбук Acer V3-371-33A4 (HD) i3 4005U(1.7)/6144/500+8 SSHD/IntelHD/WiFi/BT/Cam/Win8.1";34490;;;;;Ч;;;;;;;;;;Б;;
"13.3"" Ноутбук Acer V3-371-37NW (HD) i3 4005U(1.7)/4096/500/IntelHD/WiFi/BT/Cam/Win8.1/White";31990;;;;;Ч;;;;;;;;;;Б;;
"13.3"" Ноутбук Acer V3-371-39DB (HD) i3 4005U(1.7)/6144/500+8 SSHD/IntelHD/WiFi/BT/Cam/Win8.1/White";34490;Г;;;Ц;;У;;;;;;ЦН;;;Б;;
"13.3"" Ноутбук Acer V3-371-55VZ (HD) i5 5200U(2.2)/6144/500+8 SSHD/IntelHD/WiFi/BT/Cam/Win8.1";35990;Г;;;;;;;;;;С;;;;;;
"13.3"" Ноутбук Acer V3-371-59W7 (FHD) i5 4210U(1.7)/6144/1Tb/IntelHD/WiFi/BT/Cam/Win8.1/White";45990;;;;;;;;;;;С;;;;;;
"13.3"" Ультрабук-трансформер Acer R7-371T-50TF (2560x1440/Touch) i5 4210U(1.7)/4096/SSD 256/IntelHD/WiFi/BT/Cam/Win8.1";69990;Г;;;;;;;;;;;;;;;;
"13.3"" Ультрабук-трансформер Acer R7-371T-52XE (2560x1440/Touch) i5 5200U(2.2)/4096/SSD 256/IntelHD/WiFi/BT/Cam/Win8.1";70990;Г;;;;;;;;;;;;;;;;
"13.3"" Ультрабук-трансформер Acer R7-371T-55XH (FHD/Touch) i5 5200U(2.2)/4096/SSD 128/IntelHD/WiFi/BT/Cam/Win8.1";59990;;;;;;;;;;;;;;;Б;;
"13.3"" Ультрабук Acer S7-392-74518G25tws (2560x1440/Touch) i7 4510U(2.0)/8192/SSD 256/IntelHD4400/WiFi/BT/Cam/Win8";92990;Г;;;;;;;;;;;;;;Б;;
"13.3"" Ноутбук Acer V3-371-51CN (FHD) i5 4210U(1.7)/6144/1Tb/IntelHD/WiFi/BT/Cam/Win8.1";45990;Г;;;;;;;;;;;;;;;;
"14"" Ультрабук-трансформер Acer R3-471T-586U (HD/Touch) i5 5200U(2.2)/4096/1Tb/IntelHD/WiFi/BT/Cam/Win8.1/Grey";39490;Г;;;;;;;;;;С;;;;;;
"14"" Ультрабук-трансфоремр Acer R3-471TG-555B (HD/Touch) i5 5200U(2.2)/4096/1Tb/NV 820M 2Gb/WiFi/BT/Cam/Win8.1/Grey";47490;Г;;;;;;;;;;;;;;Б;;
"15.6"" Ноутбук Acer Nitro VN7-591G-73VN (UHD/4K) i7 4710HQ(2.5)/12288/1Tb+8 SSHD/NV GTX860M 2Gb/WiFi/BT/Cam/Win8.1";89990;Г;;;;;;;;;;С;;;;;;
"15.6"" Ноутбук Acer E5-521G-88VM (HD) AMD A8-6410(2.0)/4096/500/AMD R5 M240 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";27990;;;;Ц;;;;;;;;ЦН;;;Б;;
"15.6"" Ноутбук Acer E5-551G-F63G (HD) AMD FX-7500(2.1)/8192/1Tb+8 SSHD/AMD R7 M265 2Gb/DVD-SMulti/WiFi/BT/Win8.1";38990;;;Л;Ц;Ч;;А;ГА;;;;;;;;;СП
"15.6"" Ноутбук Acer E5-571G-52Q4 (HD) i5 5200U(2.2)/4096/500/NV 840M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1/Grey";38490;;;Л;Ц;;У;;;;;;;;;Б;;
"15.6"" Ноутбук Acer E5-571G-36MP (HD) i3 4005U(1.7)/4096/500/NV 840M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1/Grey";34490;Г;;;;;;;;;;;;;;;;СП
"15.6"" Ноутбук Acer E5-571G-37FY (HD) i3 4005U(1.7)/4096/500/NV 840M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1/Black";34490;Г;М;Л;Ц;;У;А;ГА;ПР;;С;ЦН;;;Б;;СП
"15.6"" Ноутбук Acer E5-571G-350S (HD) i3 4005U(1.7)/4096/500/NV 820M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";29990;;М;Л;Ц;;У;А;ГА;ПР;;С;;;;Б;;СП
"15.6"" Ноутбук Acer E5-571G-37JX (HD) i3 4005U(1.7)/4096/500/NV 820M 1Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";30490;Г;М;;;;У;А;;;;С;;;;Б;;СП
"15.6"" Ноутбук Acer E5-571G-52FL (HD) i5 4210U(1.7)/4096/500/NV 820M 1Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";38490;Г;М;Л;Ц;Ч;У;А;ГА;;;С;;;;Б;;СП
"15.6"" Ноутбук Acer E5-571G-539K (HD) i5 5200U(2.2)/4096/500/NV 840M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1/Black";38490;;;Л;Ц;Ч;;А;ГА;ПР;;С;;;;Б;;СП
"15.6"" Ноутбук Acer E5-571G-57YT (HD) i5 5200U(2.2)/4096/500/NV 840M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1/Violet";38490;;;;;;;;;;;С;;;;;;
"15.6"" Ноутбук Acer E5-571G-59UY (HD) i5 5200U(2.2)/4096/500/NV 820M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";38490;Г;;Л;Ц;;У;;ГА;ПР;;С;;;;Б;;СП
"15.6"" Ноутбук Acer E5-571G-59VX (HD) i5 5200U(2.2)/4096/500/NV 840M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1/Blue";38490;;;;;;;;;;;;;;;Б;;
"15.6"" Ноутбук Acer ES1-512-P2KK (HD) Pentium N3540(2.16)/4096/500/IntelHD/DVD-SMulti/WiFi/BT/Cam/Win8.1";26990;;;;;Ч;;;ГА;;;С;;;;Б;;
"15.6"" Ноутбук Acer ES1-512-P2UC (HD) Pentium N3540(2.16)/2048/500/IntelHD/WiFi/BT/Cam/Win8.1";24490;Г;;;Ц;;;А;ГА;;;;;;;;;СП
"15.6"" Ноутбук-трансформер Acer R7-572-54206G1Tass (FHD/Touch/IPS) i5 4200U(1.6)/6144/1Tb/IntelHD/WiFi/BT/Cam/Win8.1";55990;Г;;;;;;;;;;С;;;;;;
"15.6"" Ноутбук Acer V3-572G-36UC (HD) i3 4005U(1.7)/6144/1Tb/NV 840M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1/Black";33490;Г;;Л;;;;;;;;С;;;;;;
"15.6"" Ноутбук Acer V3-572G-38YD (HD) i3 4005U(1.7)/4096/500/NV 820M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1/White";34990;Г;;;;Ч;;;ГА;;;;;;;Б;;
"15.6"" Ноутбук Acer Nitro VN7-571G-563H (FHD/IPS) i5 5200U(2.2)/6144/1Tb+8 SSHD/NV 840M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";59990;;;;;Ч;;;;;;;;;;;;
"15.6"" Ноутбук Acer Nitro VN7-591G-540U (UHD/4K) i5 4210H(2.9)/8192/1Tb+8 SSHD/NV GTX860M 2Gb/WiFi/BT/Cam/Win8";78990;;;;;;;;;;;С;;;;;;
"15.6"" Ноутбук Acer Extensa EX2508-C63G (HD) Celeron N2840(2.16)/4096/500/IntelHD/DVD-SMulti/WiFi/BT/Cam/Win8.1";23490;Г;;;;;У;;;;;С;ЦН;;;Б;;
"15.6"" Ноутбук Acer Extensa EX2508-C6BE (HD) Celeron N2840(2.16)/2048/500/IntelHD/DVD-SMulti/WiFi/BT/Cam/Win8.1";20490;;;Л;;Ч;У;;ГА;;;С;;;;;;
"15.6"" Ноутбук Acer Extensa EX2508-P0JV (HD) Pentium N3540(2.16)/4096/500/IntelHD/DVD-SMulti/WiFi/BT/Cam/Win8.1";26990;Г;М;;;Ч;У;;;;;С;ЦН;;;;;
"15.6"" Ноутбук Acer Extensa EX2508-P4P3 (HD) Pentium N3540(2.16)/2048/500/IntelHD/DVD-SMulti/WiFi/BT/Cam/Win8.1";23490;;;;;;;;;;;С;;;;;;
"15.6"" Ноутбук Acer Extensa EX2510G-345E (HD) i3 4005U(1.7)/4096/500/NV 820M 1Gb/DVD-SMulti/WiFi/BT/Cam/Linux";25490;Г;М;;;;У;;;;;;;;;Б;;
"15.6"" Ноутбук Acer Extensa 2510G-38H2 (HD) i3 4030U(1.9)/4096/500/NV 820M 1Gb/DVD-SMulti/WiFi/BT/Cam/Linux";27990;Г;;;;;;;;;;С;;;;;;
"15.6"" Ноутбук Acer Extensa EX2510G-39P8 (HD) i3 4005U(1.7)/4096/500/NV 820M 1Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";26990;Г;М;Л;Ц;Ч;У;А;ГА;ПР;;С;ЦН;;;Б;;СП
"15.6"" Ноутбук Acer Extensa EX2510G-53DE (HD) i5 4210U(1.7)/4096/500/NV 820M 1Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";29990;Г;М;Л;Ц;;У;А;ГА;ПР;;С;ЦН;;;Б;;СП
"15.6"" Ноутбук Acer Extensa 2510G-54TK (HD) i5 4210U(1.7)/4096/500/NV 820M 1Gb/DVD-SMulti/WiFi/BT/Cam/Linux";32490;Г;;;;Ч;;;;;;;;;;;;
"15.6"" Ноутбук Acer Extensa EX2510G-P8HF (HD) Pentium 3556U(1.7)/4096/500/NV 820M 1Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";21490;Г;М;;Ц;Ч;У;А;ГА;ПР;;С;ЦН;;;Б;;СП
"15.6"" Ноутбук Acer Nitro VN7-571G-50Z2 (HD) i5 5200U(2.2)/6144/500+8 SSHD/NV 840M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";43990;;;;;Ч;;;;;;;;;;;;
"15.6"" Ноутбук Acer Nitro VN7-571G-73X2 (FHD/IPS) i7 5500U(2.4)/6144/1Tb+8 SSHD/NV 840M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";60990;Г;;;;;;;;;;;;;;;;
"15.6"" Ноутбук Acer V3-572G-50SQ (HD) i5 5200U(2.2)/4096/500/NV 820M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1/White";38490;;;Л;;;;;;;;;;;;;;
"17.3"" Ноутбук Acer E5-771G-348S (HD+) i3 4005U(1.7)/6144/1Tb/NV 840M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";36490;;;;;;;;ГА;;;;;;;;;СП
"17.3"" Ноутбук Acer E5-771G-58SB (HD+) i5 5200U(2.2)/6144/1Tb/NV 840M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";44490;;;;Ц;Ч;;А;ГА;;;;;;;;;СП
"17.3"" Ноутбук Acer Nitro VN7-791G-536J (FHD) i5 4210H(2.9)/6144/1Tb+8 SSHD/NV 840M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";47990;Г;;;;;;;;;;;;;;;;
Alienware;;;;;;;;;;;;;;;;;;
"15.6"" Ноутбук Alienware A15-8444 (FHD) i7 4710HQ(2.5)/16384/1Tb/AMD R9 M295X 4Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";142990;;М;;;;;;;;;;;;;;;
Apple;;;;;;;;;;;;;;;;;;
"11.6"" Ноутбук Apple MacBook Air (MD711RU/B)(HD) i5 (1.4)/4096/SSD 128/Intel HD5000/WiFi/BT/Cam/Mac OS X";50990;Г;;;;;У;;;;;С;;;;Б;;
"11.6"" Ноутбук Apple MacBook Air (MD712RU/B)(HD) i5 (1.4)/4096/SSD 256/Intel HD5000/WiFi/BT/Cam/Mac OS X";60990;Г;М;;;;;;;;;С;;;;Б;;
"11.6"" Ноутбук Apple MacBook Air (MJVM2RU/A)(HD) i5 5250U(1.6)/4096/SSD 128/Intel HD6000/WiFi/BT/Cam/Mac OS X";62990;Г;;;;Ч;У;;;ПР;;;ЦН;;;;;
"11.6"" Ноутбук Apple MacBook Air (MJVP2RU/A)(HD) i5 5250U(1.6)/4096/SSD 256/Intel HD6000/WiFi/BT/Cam/Mac OS X";76990;;;;;;У;;;;;;ЦН;;;;;
"13.3"" Ноутбук Apple MacBook Air (MD760RU/B)(WXGA+) i5 4260U(1.4)/4096/SSD 128/Intel HD5000/WiFi/BT/Cam/Mac OS X";58990;Г;;;;Ч;У;;;;;С;;;;Б;;
"13.3"" Ноутбук Apple MacBook Air (MD761RU/B)(WXGA+) i5 4260U(1.4)/4096/SSD 256/Intel HD5000/WiFi/BT/Cam/Mac OS X";67990;Г;М;Л;;Ч;У;;ГА;;;С;;;;Б;;СП
"13.3"" Ноутбук Apple MacBook Air (MJVE2RU/A)(WXGA+) i5 5250U(1.6)/4096/SSD 128/Intel HD6000/WiFi/BT/Cam/Mac OS X";69990;Г;;;;Ч;У;;;;;С;;;;Б;;
"13.3"" Ноутбук Apple MacBook Air (MJVG2RU/A)(WXGA+) i5 5250U(1.6)/4096/SSD 256/Intel HD6000/WiFi/BT/Cam/Mac OS X";82990;;;;;;У;;;;;С;;;;Б;;
"13.3"" Ноутбук Apple MacBook Pro (MD101RS/A)(WXGA) i5 3210M(2.5)/4096/500/Intel HD4000/DVD-SMulti/WiFi/BT/Cam/Mac OS X";64990;Г;М;;Ц;Ч;У;А;ГА;;;С;;;;Б;;СП
"13.3"" Ноутбук Apple MacBook Pro Retina (MF839RU/A)(WQXGA) i5 5257U(2.7)/8192/SSD 128/Intel Iris6100/WiFi/BT/Cam/Mac OS X";89990;Г;М;;;Ч;У;;;;;С;;;;Б;;
"13.3"" Ноутбук Apple MacBook Pro Retina (MF840RU/A)(WQXGA) i5 5257U(2.7)/8192/SSD 256/Intel Iris6100/WiFi/BT/Cam/Mac OS X";104990;Г;;;;;У;;;;;С;ЦН;;;;;
"13.3"" Ноутбук Apple MacBook Pro Retina (MF841RU/A)(WQXGA) i5 5287U(2.9)/8192/SSD 512/Intel Iris6100/WiFi/BT/Cam/Mac OS X";122990;Г;;;;;;;;;;;;;;;;
"13.3"" Ноутбук Apple MacBook Pro Retina (MGX72RU/A)(WQXGA) i5 4278U(2.6)/8192/SSD 128/Intel Iris5100/WiFi/BT/Cam/Mac OS X";72990;Г;;;Ц;Ч;;;;;;С;;;;Б;;СП
"13.3"" Ноутбук Apple MacBook Pro Retina (MGX82RU/A)(WQXGA) i5 4278U(2.6)/8192/SSD 256/Intel Iris5100/WiFi/BT/Cam/Mac OS X";87990;Г;М;Л;Ц;Ч;У;А;ГА;;;С;;;;Б;;СП
"13.3"" Ноутбук Apple MacBook Pro Retina (MGX92RU/A)(WQXGA) i5 4308U(2.8)/8192/SSD 512/Intel Iris5100/WiFi/BT/Cam/Mac OS X";129990;Г;М;;;;У;;;;;С;;;;;;
"15.4"" Ноутбук Apple MacBook Pro Retina MGXA2RU(2880x1800) i7 4770HQ(2.2)/16384/SSD 256/Intel Iris Pro5200/WiFi/BT/Cam/Mac OS X";134990;Г;;;;;У;;;;;С;;;;Б;;СП
"15.4"" Ноутбук Apple MacBook Pro Retina MGXC2RU(2880x1800) i7 4870HQ(2.5)/16384/SSD 512/GT750M 2Gb/WiFi/BT/Cam/Mac OS X";164990;Г;;;;;;;;;;С;;;;;;
ASUS;;;;;;;;;;;;;;;;;;
"11.6"" Ноутбук Asus (X200LA)(HD/Touch) i3 4010U(1.7)/4096/500/IntelHD/WiFi/BT/Cam/Win8/Red";33490;;М;;;;;;;;;С;;;;;;
"11.6"" Ноутбук Asus (F200MA)(HD) Celeron N2830(2.16)/2048/500/IntelHD/WiFi/BT/Cam/Win8/Black";18990;;;;;;У;;;;;;;;;;;
"11.6"" Ноутбук Asus (X200MA)(HD) Celeron N2830(2.16)/4096/500/IntelHD/WiFi/BT/Cam/Dos/Red";18790;Г;;;;;;;;;;С;;;;;;
"11.6"" Ноутбук Asus (X200MA)(HD/Touch) Pentium N3540(2.16)/4096/750/IntelHD/WiFi/BT/Cam/Win8/Blue";32490;Г;;;;;;;;;;;;;;;;
